,game_str,play_id,play_per_game,player_position,event_code,home_team,first_baserunner,second_baserunner
0,y1_d062_HCI_RZQ,25,25,2,3,RZQ,RZQ-0274,NA
1,y1_d063_HCI_RZQ,61,61,2,3,RZQ,RZQ-0258,NA
2,y1_d064_UEX_RZQ,260,156,2,3,RZQ,UEX-2239,NA
3,y1_d065_IAQ_YJD,11,11,2,3,YJD,IAQ-1483,NA
4,y1_d065_IAQ_YJD,109,109,2,3,YJD,YJD-0345,NA
5,y1_d065_OWH_QEA,10,10,2,3,QEA,OWH-1045,NA
6,y1_d065_UEX_RZQ,137,137,2,3,RZQ,RZQ-0381,NA
7,y1_d066_IAQ_YJD,234,234,2,3,YJD,IAQ-1783,NA
8,y1_d068_OWH_QEA,17,17,2,3,QEA,OWH-1692,NA
9,y1_d071_ACN_QEA,186,186,2,3,QEA,QEA-0249,NA
10,y1_d074_UWE_YJD,201,201,2,3,YJD,YJD-0172,NA
11,y1_d075_PHS_RZQ,231,231,2,3,RZQ,PHS-2530,NA
12,y1_d075_UWE_YJD,214,214,2,3,YJD,UWE-1368,NA
13,y1_d076_GAX_YJD,9,9,2,3,YJD,GAX-2281,NA
14,y1_d077_GAX_YJD,37,37,2,3,YJD,GAX-1345,NA
15,y1_d078_GAX_YJD,120,120,2,3,YJD,YJD-0340,NA
16,y1_d078_GAX_YJD,182,182,2,3,YJD,YJD-0060,NA
17,y1_d079_FBP_QEA,209,209,2,3,QEA,FBP-1529,NA
18,y1_d079_PVJ_RZQ,122,122,2,3,RZQ,PVJ-1833,NA
19,y1_d080_PVJ_RZQ,130,130,2,3,RZQ,PVJ-1049,NA
20,y1_d081_PVJ_RZQ,89,89,2,3,RZQ,RZQ-0347,NA
21,y1_d083_YJD_RZQ,148,30,2,3,RZQ,RZQ-0355,NA
22,y1_d086_CRQ_QEA,179,179,2,3,QEA,QEA-0218,NA
23,y1_d086_DYE_YJD,274,115,2,3,YJD,YJD-0284,NA
24,y1_d087_CRQ_QEA,284,284,2,3,QEA,CRQ-1017,NA
25,y1_d091_DYE_RZQ,71,71,2,3,RZQ,RZQ-0014,NA
26,y1_d091_DYE_RZQ,135,135,2,3,RZQ,DYE-0408,NA
27,y1_d091_DYE_RZQ,196,196,2,3,RZQ,DYE-0408,NA
28,y1_d064_UEX_RZQ,118,14,2,3,RZQ,UEX-1111,NA
29,y1_d067_IAQ_YJD,110,110,2,3,YJD,IAQ-1783,NA
30,y1_d073_UWE_YJD,257,257,2,3,YJD,YJD-0193,NA
31,y1_d085_YJD_RZQ,162,162,2,3,RZQ,RZQ-0355,NA
32,y1_d085_YJD_RZQ,126,126,2,3,RZQ,RZQ-0333,NA
33,y1_d096_XAX_QEA,98,98,2,3,QEA,XAX-1799,NA
34,y1_d099_MRJ_YJD,142,142,2,3,YJD,YJD-0007,NA
35,y2_d002_BEJ_RZQ,96,96,2,3,RZQ,BEJ-1805,NA
36,y2_d005_DYE_RZQ,285,285,2,3,RZQ,RZQ-0333,NA
37,y2_d005_NSO_YJD,228,228,2,3,YJD,NSO-1277,NA
38,y2_d006_DYE_RZQ,190,190,2,3,RZQ,RZQ-0317,NA
39,y2_d006_DYE_RZQ,224,224,2,3,RZQ,RZQ-0347,NA
40,y2_d006_DYE_RZQ,278,278,2,3,RZQ,DYE-0089,NA
41,y2_d007_NSO_YJD,15,15,2,3,YJD,NSO-1360,NA
42,y2_d007_NSO_YJD,172,172,2,3,YJD,NSO-1360,NA
43,y2_d008_TSZ_RZQ,253,253,2,3,RZQ,RZQ-0333,NA
44,y2_d009_TSZ_RZQ,210,210,2,3,RZQ,TSZ-1892,NA
45,y2_d009_TSZ_RZQ,289,289,2,3,RZQ,TSZ-2241,NA
46,y2_d010_TSZ_RZQ,5,5,2,3,RZQ,TSZ-1892,NA
47,y2_d010_TSZ_RZQ,126,126,2,3,RZQ,TSZ-2241,NA
48,y2_d011_BVD_RZQ,232,232,2,3,RZQ,BVD-1877,NA
49,y2_d012_BVD_RZQ,58,58,2,3,RZQ,RZQ-0310,NA
50,y2_d012_RQJ_YJD,194,194,2,3,YJD,RQJ-2023,NA
51,y2_d012_RQJ_YJD,310,310,2,3,YJD,RQJ-2493,NA
52,y2_d013_BVD_RZQ,146,146,2,3,RZQ,BVD-1474,NA
53,y2_d013_BVD_RZQ,156,156,2,3,RZQ,BVD-2292,NA
54,y2_d014_TEQ_YJD,231,231,2,3,YJD,TEQ-2178,NA
55,y2_d015_TEQ_YJD,41,41,2,3,YJD,TEQ-1945,NA
56,y2_d015_TEQ_YJD,159,159,2,3,YJD,YJD-0366,NA
57,y2_d017_GIS_RZQ,106,106,2,3,RZQ,RZQ-0333,NA
58,y2_d022_DMS_RZQ,153,153,2,3,RZQ,DMS-2214,NA
59,y2_d023_DMS_RZQ,14,141,2,3,RZQ,RZQ-0310,NA
60,y2_d024_ALA_YJD,146,146,2,3,YJD,ALA-2442,NA
61,y2_d024_ALA_YJD,190,190,2,3,YJD,ALA-2045,NA
62,y2_d025_ALA_YJD,225,225,2,3,YJD,YJD-0345,NA
63,y2_d026_VMN_YJD,241,241,2,3,YJD,VMN-2242,NA
64,y2_d027_YUH_RZQ,83,83,2,3,RZQ,YUH-1741,NA
65,y1_d094_XAX_QEA,39,39,2,3,QEA,XAX-1799,NA
66,y2_d002_GHD_YJD,126,126,2,3,YJD,GHD-2483,NA
67,y2_d003_GHD_YJD,117,117,2,3,YJD,GHD-1181,NA
68,y2_d003_GHD_YJD,290,290,2,3,YJD,YJD-0397,NA
69,y2_d007_NSO_YJD,78,78,2,3,YJD,NSO-1232,NA
70,y2_d009_JMJ_YJD,17,17,2,3,YJD,YJD-0019,NA
71,y2_d010_TSZ_RZQ,41,41,2,3,RZQ,RZQ-0346,NA
72,y2_d010_TSZ_RZQ,92,92,2,3,RZQ,TSZ-1892,NA
73,y2_d014_TEQ_YJD,193,193,2,3,YJD,TEQ-2404,NA
74,y1_d036_HMN_RZQ,84,84,2,3,RZQ,HMN-1594,NA
75,y1_d036_HMN_RZQ,104,104,2,3,RZQ,RZQ-0347,NA
76,y1_d045_VHS_YJD,193,193,2,3,YJD,YJD-0210,NA
77,y1_d047_VHS_YJD,13,13,2,3,YJD,VHS-2566,NA
78,y1_d049_UPU_YJD,220,220,2,3,YJD,YJD-0345,NA
79,y1_d053_APZ_QEA,186,186,2,3,QEA,APZ-1184,NA
80,y1_d054_APZ_QEA,16,16,2,3,QEA,APZ-2377,NA
81,y1_d056_KJH_RZQ,186,186,2,3,RZQ,RZQ-0355,NA
82,y1_d056_KJH_RZQ,222,222,2,3,RZQ,RZQ-0381,NA
83,y1_d056_WZR_YJD,122,122,2,3,YJD,YJD-0020,NA
84,y1_d056_WZR_YJD,131,131,2,3,YJD,WZR-2183,NA
85,y1_d057_OXG_QEA,12,12,2,3,QEA,OXG-0171,NA
86,y1_d047_VHS_YJD,204,204,2,3,YJD,VHS-2566,NA
87,y1_d057_KJH_RZQ,11,132,2,3,RZQ,KJH-1208,NA
88,y1_d038_HMN_RZQ,229,229,2,3,RZQ,RZQ-0274,NA
89,y1_d057_OXG_QEA,109,109,2,3,QEA,OXG-0085,NA
90,y1_d056_KJH_RZQ,96,96,2,3,RZQ,KJH-2558,NA
91,y1_d057_WZR_YJD,4,135,2,3,YJD,YJD-0312,NA
92,y1_d001_CGA_QEA,25,25,2,3,QEA,CGA-1824,NA
93,y1_d008_JJS_YJD,163,163,2,3,YJD,JJS-1834,NA
94,y1_d009_GEA_YJD,154,154,2,3,YJD,YJD-0193,NA
95,y1_d011_GEA_YJD,24,24,2,3,YJD,GEA-1874,NA
96,y1_d013_IXC_QEA,38,38,2,3,QEA,IXC-1848,NA
97,y1_d014_IXC_QEA,31,31,2,3,QEA,QEA-0235,NA
98,y1_d015_IXC_QEA,45,45,2,3,QEA,IXC-2145,NA
99,y1_d016_OXG_QEA,258,258,2,3,QEA,QEA-0365,NA
100,y1_d017_OXG_QEA,58,58,2,3,QEA,OXG-0134,NA
101,y1_d018_OXG_QEA,29,29,2,3,QEA,QEA-0235,NA
102,y1_d019_JFU_YJD,23,23,2,3,YJD,YJD-0345,NA
103,y1_d021_JFU_YJD,83,83,2,3,YJD,YJD-0185,NA
104,y1_d022_AKX_YJD,34,34,2,3,YJD,YJD-0338,NA
105,y1_d026_JIL_RZQ,50,50,2,3,RZQ,JIL-1444,NA
106,y1_d026_JIL_RZQ,157,157,2,3,RZQ,JIL-1994,NA
107,y1_d026_JIL_RZQ,179,179,2,3,RZQ,RZQ-0244,NA
108,y1_d027_JIL_RZQ,115,115,2,3,RZQ,RZQ-0347,NA
109,y1_d027_JIL_RZQ,224,224,2,3,RZQ,RZQ-0214,NA
110,y1_d027_JIL_RZQ,328,328,2,3,RZQ,JIL-1171,NA
111,y1_d008_JJS_YJD,200,200,2,3,YJD,YJD-0172,NA
112,y1_d009_GEA_YJD,15,15,2,3,YJD,YJD-0345,NA
113,y2_d071_XFE_RZQ,197,197,2,3,RZQ,XFE-2484,NA
114,y2_d071_XFE_RZQ,292,292,2,3,RZQ,XFE-2310,NA
115,y2_d074.5_VZE_YJD,49,49,2,3,YJD,VZE-2173,NA
116,y2_d082_WMI_YJD,46,46,2,3,YJD,WMI-2219,NA
117,y2_d083_WMI_YJD,201,201,2,3,YJD,WMI-2253,NA
118,y2_d085.5_LFS_YJD,126,126,2,3,YJD,LFS-1637,NA
119,y2_d086_LFS_YJD,242,302,2,3,YJD,YJD-0429,NA
120,y2_d092_NYA_YJD,167,167,2,3,YJD,NYA-1183,NA
121,y2_d093_QZE_RZQ,172,172,2,3,RZQ,QZE-1667,NA
122,y2_d096_QZE_RZQ,66,11,2,3,RZQ,RZQ-0347,NA
123,y2_d098_YJD_RZQ,98,98,2,3,RZQ,YJD-0278,NA
124,y2_d099_YJD_RZQ,250,250,2,3,RZQ,RZQ-0328,NA
125,y2_d075_VZE_YJD,71,71,2,3,YJD,YJD-0366,NA
126,y2_d093_QZE_RZQ,14,14,2,3,RZQ,QZE-1638,NA
127,y2_d086_LFS_YJD,143,203,2,3,YJD,LFS-2216,NA
128,y2_d093_QZE_RZQ,73,73,2,3,RZQ,QZE-1245,NA
129,y2_d096_QZE_RZQ,62,7,2,3,RZQ,QZE-2217,NA
130,y2_d079_YJD_RZQ,249,249,2,3,RZQ,YJD-0278,NA
131,y2_d071_XFE_RZQ,210,210,2,3,RZQ,RZQ-0275,NA
132,y2_d094_QZE_RZQ,109,109,2,3,RZQ,RZQ-0310,NA
133,y2_d027_YUH_RZQ,96,96,2,3,RZQ,RZQ-0333,NA
134,y2_d029_IKJ_RZQ,66,66,2,3,RZQ,RZQ-0347,NA
135,y2_d029_IKJ_RZQ,190,190,2,3,RZQ,RZQ-0143,NA
136,y2_d029_IKJ_RZQ,259,259,2,3,RZQ,RZQ-0310,NA
137,y2_d031_IKJ_RZQ,139,139,2,3,RZQ,IKJ-2078,NA
138,y2_d035_KNB_YJD,173,173,2,3,YJD,KNB-1075,NA
139,y2_d035_KNB_YJD,190,190,2,3,YJD,YJD-0327,NA
140,y2_d036_UKI_RZQ,13,13,2,3,RZQ,UKI-1505,NA
141,y2_d039_XLB_RZQ,234,142,2,3,RZQ,RZQ-0385,NA
142,y2_d039_XLB_RZQ,257,165,2,3,RZQ,RZQ-0333,NA
143,y2_d040_XLB_RZQ,101,101,2,3,RZQ,XLB-2011,NA
144,y2_d041_XLB_RZQ,245,245,2,3,RZQ,RZQ-0347,NA
145,y2_d043_RZQ_YJD,79,79,2,3,YJD,RZQ-0231,NA
146,y2_d046.5_IHI_YJD,70,70,2,3,YJD,IHI-1907,NA
147,y2_d046_IHI_YJD,53,53,2,3,YJD,YJD-0304,NA
148,y2_d049_DYE_RZQ,16,16,2,3,RZQ,DYE-0089,NA
149,y2_d049_DYE_RZQ,242,242,2,3,RZQ,DYE-0089,NA
150,y2_d050_DYE_RZQ,81,81,2,3,RZQ,DYE-0130,NA
151,y2_d050_DYE_RZQ,300,300,2,3,RZQ,DYE-0122,NA
152,y2_d051_DYE_RZQ,153,153,2,3,RZQ,RZQ-0346,NA
153,y2_d052_PTB_YJD,210,210,2,3,YJD,PTB-1280,NA
154,y2_d053_PTB_YJD,81,81,2,3,YJD,YJD-0278,NA
155,y2_d057.5_IAK_RZQ,61,61,2,3,RZQ,RZQ-0310,NA
156,y2_d057.5_IAK_RZQ,163,163,2,3,RZQ,IAK-2490,NA
157,y2_d063_KIR_RZQ,137,137,2,3,RZQ,KIR-1636,NA
158,y2_d064_HKR_RZQ,245,245,2,3,RZQ,HKR-1856,NA
159,y2_d065_ESW_YJD,107,107,2,3,YJD,ESW-1502,NA
160,y2_d065_HKR_RZQ,54,54,2,3,RZQ,RZQ-0143,NA
161,y2_d066_HKR_RZQ,280,280,2,3,RZQ,HKR-1786,NA
162,y2_d068_RDO_RZQ,75,75,2,3,RZQ,RDO-1507,NA
163,y2_d028_YUH_RZQ,197,197,2,3,RZQ,RZQ-0143,NA
164,y2_d035_KNB_YJD,208,208,2,3,YJD,KNB-2309,NA
165,y2_d036_UKI_RZQ,32,32,2,3,RZQ,RZQ-0347,NA
166,y2_d049_DYE_RZQ,31,31,2,3,RZQ,RZQ-0205,NA
167,y2_d054_PTB_YJD,72,72,2,3,YJD,PTB-1280,NA
168,y2_d055_IAK_RZQ,244,244,2,3,RZQ,RZQ-0385,NA
169,y2_d061_KIR_RZQ,215,215,2,3,RZQ,RZQ-0310,NA
170,y2_d029_IKJ_RZQ,83,83,2,3,RZQ,IKJ-2180,NA
171,y2_d055_IAK_RZQ,44,44,2,3,RZQ,IAK-2540,NA
172,y2_d028_YUH_RZQ,119,119,2,3,RZQ,RZQ-0409,NA
173,y2_d056_IAK_RZQ,51,51,2,3,RZQ,IAK-1871,NA
174,y2_d029_IKJ_RZQ,49,49,2,3,RZQ,IKJ-2099,NA
